Time,UF유입압력_PT001,UF유입압력_PT007,UF유입압력_PT002,UF유입압력_PT005,UF압력_UF-TMP,UF유입압력_PT003,UF유입압력_PT004,UF유입압력_PT006,UF처리탁도_TUB001,UF농축유량_FIT001,UF처리유량_FIT002,UF유입온도_TIT001,UF유입온도_TIT002,UF유입온도_TIT003,전기전도도_EC001,UFpH_pH001,UF히터_EH001,UF레귤레이터_REG001,UF레귤레이터_REG002,UF펌프_P001,UF펌프_P002,UF펌프_P003,UF펌프_P004,UF펌프_P005,XV001,XV002,XV003,XV004,XV005,XV006,XV007,XV008,XV009,XV010,XV011,XV012
10/22/2025 15:39,1.4322,1.3547,0,1.1113,1.27175,1.4322,1.3547,1.1113,1.75,23.8758,2.3716,48.0188,48.0188,48.0188,23.8758,2.3716,,,,45.6472,21.5042,22.1258,22.5211,22.4436,1,1,1,0,1,1,0,1,1,1,1,1
10/22/2025 15:44,1.4228,1.3525,0,1.1213,1.27205,1.4228,1.3525,1.1213,1.75,23.873,2.377,48.4875,48.4875,48.4875,23.873,2.377,,,,46.1105,21.496,22.123,22.5205,22.4502,1,1,1,0,1,1,0,1,1,1,1,1
10/22/2025 15:49,1.425,1.3503,0,1.1213,1.27315,1.425,1.3503,1.1213,1.75,23.8249,2.377,48.3313,48.3313,48.3313,23.8249,2.377,,,,45.9543,21.4479,22.0749,22.4746,22.3999,1,1,1,0,1,1,0,1,1,1,1,1
10/22/2025 15:54,1.4244,1.3509,0,1.14,1.2822,1.4244,1.3509,1.14,1.75,23.8701,2.3734,48.55,48.55,48.55,23.8701,2.3734,,,,46.1766,21.4967,22.1201,22.5192,22.4457,1,1,1,0,1,1,0,1,1,1,1,1
10/22/2025 15:59,1.4275,1.3519,0,1.1013,1.2644,1.4275,1.3519,1.1013,1.8,23.8701,2.3752,48.0438,48.0438,48.0438,23.8701,2.3752,,,,45.6686,21.4949,22.0701,22.5182,22.4426,1,1,1,0,1,1,0,1,1,1,1,1
10/22/2025 16:04,1.4316,1.3516,0,1.1213,1.27645,1.4316,1.3516,1.1213,1.775,23.8984,2.3752,47.9625,47.9625,47.9625,23.8984,2.3752,,,,45.5873,21.5232,22.1234,22.5468,22.4668,1,1,1,0,1,1,0,1,1,1,1,1
10/22/2025 16:09,1.4297,1.3516,0,1.1275,1.2786,1.4297,1.3516,1.1275,1.775,23.873,2.377,48.2938,48.2938,48.2938,23.873,2.377,,,,45.9168,21.496,22.098,22.5214,22.4433,1,1,1,0,1,1,0,1,1,1,1,1
10/22/2025 16:14,1.4325,1.3509,0,1.135,1.28375,1.4325,1.3509,1.135,1.775,23.8758,2.3716,48.3875,48.3875,48.3875,23.8758,2.3716,,,,46.0159,21.5042,22.1008,22.5249,22.4433,1,1,1,0,1,1,0,1,1,1,1,1
10/22/2025 16:19,1.4228,1.3509,0,1.1075,1.26515,1.4228,1.3509,1.1075,1.75,23.8758,2.3734,48.1,48.1,48.1,23.8758,2.3734,,,,45.7266,21.5024,22.1258,22.5249,22.453,1,1,1,0,1,1,0,1,1,1,1,1
10/22/2025 16:24,1.4272,1.3509,0,1.1538,1.2905,1.4272,1.3509,1.1538,1.75,23.8503,2.3716,48.0125,48.0125,48.0125,23.8503,2.3716,,,,45.6409,21.4787,22.1003,22.4994,22.4231,1,1,1,0,1,1,0,1,1,1,1,1
10/22/2025 16:29,1.4309,1.3506,0,1.1225,1.2767,1.4309,1.3506,1.1225,1.775,23.8899,2.3752,48.2125,48.2125,48.2125,23.8899,2.3752,,,,45.8373,21.5147,22.1149,22.5393,22.459,1,1,1,0,1,1,0,1,1,1,1,1
10/22/2025 16:34,1.4278,1.3488,0,1.1475,1.28765,1.4278,1.3488,1.1475,1.775,23.8899,2.377,48.0375,48.0375,48.0375,23.8899,2.377,,,,45.6605,21.5129,22.1149,22.5411,22.4621,1,1,1,0,1,1,0,1,1,1,1,1
